Centralized policy enforcement applies across distributed edge clusters,<object> Centralized policy enforcement <relationship> applies across <object> distributed edge clusters.,CentralizedPolicyEnforcement,appliesAcross,DistributedEdgeClusters,
Initial 5G deployments use NSA,<object> Initial 5G deployments <relationship> use <object> NSA.,InitialFiveGDeployments,use,NSA,
NSA combines RAN on 5G and control on 4G EPC,<object> NSA <relationship> combines <object> RAN on 5G and control on 4G EPC.,NSA,combines,RANOnFiveGAndControlOn4GEPC,
Evolution to fully standalone (SA) core follows in later phases,<object> Evolution to fully standalone (SA) core <relationship> follows in <object> later phases.,EvolutionToFullyStandaloneSACore,followsIn,LaterPhases,
Stateless design externalizes NF state to UDSF-like stores,<object> Stateless design <relationship> externalizes <object> NF state to UDSF-like stores.,StatelessDesign,externalizes,NFStateToUDSFLikeStores,
Externalizing NF state to UDSF-like stores enables resilience,<object> Externalizing NF state to UDSF-like stores <relationship> enables <object> resilience.,ExternalizingNFStateToUDSFLikeStores,enables,Resilience,
"DevOps automation (CodePipeline, CloudFormation) allows NF operators to treat infrastructure as code","<object> DevOps automation (CodePipeline, CloudFormation) <relationship> allows <object> NF operators to treat infrastructure as code.",DevOpsAutomationCodePipelineCloudFormation,allows,NFOperatorsToTreatInfrastructureAsCode,
Treating infrastructure as code enables reproducible deployments at scale,<object> Treating infrastructure as code <relationship> enables <object> reproducible deployments at scale.,TreatingInfrastructureAsCode,enables,ReproducibleDeploymentsAtScale,
UPF deployment may be hardware-based,<object> UPF deployment <relationship> may be <object> hardware-based.,UPFDeployment,mayBe,HardwareBased,
UPF deployment may be virtualized,<object> UPF deployment <relationship> may be <object> virtualized.,UPFDeployment,mayBe,Virtualized,
Choice of deployment depends on SLA,<object> Choice of deployment <relationship> depends on <object> SLA.,ChoiceOfDeployment,dependsOn,SLA,
Choice of deployment depends on performance needs,<object> Choice of deployment <relationship> depends on <object> performance needs.,ChoiceOfDeployment,dependsOn,PerformanceNeeds,
Choice of deployment depends on vendor maturity,<object> Choice of deployment <relationship> depends on <object> vendor maturity.,ChoiceOfDeployment,dependsOn,VendorMaturity,
Hardware UPF suits high-performance needs,<object> Hardware UPF <relationship> suits <object> high-performance needs.,HardwareUPF,suits,HighPerformanceNeeds,
Virtualized UPF aids flexibility,<object> Virtualized UPF <relationship> aids <object> flexibility.,VirtualizedUPF,aids,Flexibility,
Virtualized UPF aids geo-distribution,<object> Virtualized UPF <relationship> aids <object> geo-distribution.,VirtualizedUPF,aids,GeoDistribution,
UPF steers traffic at edge,<object> UPF <relationship> steers <object> traffic at edge.,UPF,steers,TrafficAtEdge,
UPF uses standardized APIs,<object> UPF <relationship> uses <object> standardized APIs.,UPF,uses,StandardizedAPIs,
Edge IaaS platforms host VMs,<object> Edge IaaS platforms <relationship> host <object> VMs.,EdgeIaaSPlatforms,host,VMs,
Edge IaaS platforms host containers,<object> Edge IaaS platforms <relationship> host <object> containers.,EdgeIaaSPlatforms,host,Containers,
VMs are managed by OpenStack,<object> VMs <relationship> are managed by <object> OpenStack.,VMs,areManagedBy,OpenStack,
Edge PaaS layers provide networking services,<object> Edge PaaS layers <relationship> provide <object> networking services.,EdgePaaSLayers,provide,NetworkingServices,
Edge PaaS layers provide RNIS services,<object> Edge PaaS layers <relationship> provide <object> RNIS services.,EdgePaaSLayers,provide,RNISServices,
Edge PaaS layers provide location services,<object> Edge PaaS layers <relationship> provide <object> location services.,EdgePaaSLayers,provide,LocationServices,
Edge PaaS layers provide user identity services,<object> Edge PaaS layers <relationship> provide <object> user identity services.,EdgePaaSLayers,provide,UserIdentityServices,
Edge PaaS layers provide firewall services,<object> Edge PaaS layers <relationship> provide <object> firewall services.,EdgePaaSLayers,provide,FirewallServices,
Edge PaaS layers provide DNS services,<object> Edge PaaS layers <relationship> provide <object> DNS services.,EdgePaaSLayers,provide,DNSServices,
Edge PaaS layers provide load balancing services,<object> Edge PaaS layers <relationship> provide <object> load balancing services.,EdgePaaSLayers,provide,LoadBalancingServices,
Orchestrator deploys NFs and applications,<object> Orchestrator <relationship> deploys <object> NFs and applications.,Orchestrator,deploys,NFsAndApplications,
Deployment is based on service requirements,<object> Deployment <relationship> is based on <object> service requirements.,Deployment,isBasedOn,ServiceRequirements,
Deployment is based on policies,<object> Deployment <relationship> is based on <object> policies.,Deployment,isBasedOn,Policies,
Deployment is based on resource templates mapped to location,<object> Deployment <relationship> is based on <object> resource templates mapped to location.,Deployment,isBasedOn,ResourceTemplatesMappedToLocation,
Traffic steering APIs allow dynamic flow decisions per application context,<object> Traffic steering APIs <relationship> allow <object> dynamic flow decisions per application context.,TrafficSteeringAPIs,allow,DynamicFlowDecisionsPerApplicationContext,
Dynamic flow decisions are made per application context,<object> Dynamic flow decisions <relationship> are made per <object> application context.,DynamicFlowDecisions,areMadePer,ApplicationContext,
Application contexts include video,<object> Application contexts <relationship> include <object> video.,ApplicationContexts,include,Video,
Cisco UPF implements 1:1 Active/Standby redundancy,<object> Cisco UPF <relationship> implements <object> 1:1 Active/Standby redundancy.,CiscoUPF,implements,11ActiveStandbyRedundancy,
1:1 Active/Standby redundancy uses SRP,<object> 1:1 Active/Standby redundancy <relationship> uses <object> SRP.,11ActiveStandbyRedundancy,uses,SRP,
Standby UPF assumes the same Sx/N4 address during switchover,<object> Standby UPF <relationship> assumes <object> the same Sx/N4 address during switchover.,StandbyUPF,assumes,TheSameSxN4AddressDuringSwitchover,
Sx/N4 address reuse during switchover makes the transition transparent to SMF,<object> Sx/N4 address reuse during switchover <relationship> makes <object> the transition transparent to SMF.,SxN4AddressReuseDuringSwitchover,makes,TheTransitionTransparentToSMF,
Sx/N4 control-plane heartbeat monitoring with BFD triggers fast UPF switchover,<object> Sx/N4 control-plane heartbeat monitoring with BFD <relationship> triggers <object> fast UPF switchover.,SxN4ControlPlaneHeartbeatMonitoringWithBFD,triggers,FastUPFSwitchover,
Fast UPF switchover occurs in failure events,<object> Fast UPF switchover <relationship> occurs in <object> failure events.,FastUPFSwitchover,occursIn,FailureEvents,
Active UPF replicates IP-pool to Standby UPF,<object> Active UPF <relationship> replicates <object> IP-pool to Standby UPF.,ActiveUPF,replicates,IPPoolToStandbyUPF,
Active UPF replicates session context to Standby UPF,<object> Active UPF <relationship> replicates <object> session context to Standby UPF.,ActiveUPF,replicates,SessionContextToStandbyUPF,
Replication occurs during Sx/N4 association,<object> Replication <relationship> occurs during <object> Sx/N4 association.,Replication,occursDuring,SxN4Association,
Replication occurs during checkpoint cycles,<object> Replication <relationship> occurs during <object> checkpoint cycles.,Replication,occursDuring,CheckpointCycles,
Standby UPF starts in Pending-Active,<object> Standby UPF <relationship> starts in <object> Pending-Active.,StandbyUPF,startsIn,PendingActive,
Standby UPF transitions out of Pending-Active after SRP elections,<object> Standby UPF <relationship> transitions out of <object> Pending-Active after SRP elections.,StandbyUPF,transitionsOutOf,PendingActiveAfterSRPElections,
Standby UPF transitions out of Pending-Active after manual timeout configurations,<object> Standby UPF <relationship> transitions out of <object> Pending-Active after manual timeout configurations.,StandbyUPF,transitionsOutOf,PendingActiveAfterManualTimeoutConfigurations,
SRP elections and manual timeout configurations finalize switchover,<object> SRP elections and manual timeout configurations <relationship> finalize <object> switchover.,SRPElectionsAndManualTimeoutConfigurations,finalize,Switchover,
VPP health is integrated into SRP,<object> VPP health <relationship> is integrated into <object> SRP.,VPPHealth,isIntegratedInto,SRP,
SMF is unaware of standby UPF,<object> SMF <relationship> is unaware of <object> standby UPF.,SMF,isUnawareOf,StandbyUPF,
SRP Active/Standby redundancy is supported without dual-active scenarios,<object> SRP Active/Standby redundancy <relationship> is supported without <object> dual-active scenarios.,SRPActiveStandbyRedundancy,isSupportedWithout,DualActiveScenarios,
SMF heartbeat must be timed appropriately relative to UPF SRP timeout,<object> SMF heartbeat <relationship> must be timed appropriately relative to <object> UPF SRP timeout.,SMFHeartbeat,mustBeTimedAppropriatelyRelativeTo,UPFSRPTimeout,
Proper timing between SMF heartbeat and UPF SRP timeout is crucial to avoid false session drop detection,<object> Proper timing between SMF heartbeat and UPF SRP timeout <relationship> is crucial to avoid <object> false session drop detection.,ProperTimingBetweenSMFHeartbeatAndUPFSRPTimeout,isCrucialToAvoid,FalseSessionDropDetection,
NF Set groups interchangeable NF instances of the same type,<object> NF Set <relationship> groups <object> interchangeable NF instances of the same type.,NFSet,groups,InterchangeableNFInstancesOfTheSameType,
Interchangeable NF instances of the same type include AMF,<object> Interchangeable NF instances of the same type <relationship> include <object> AMF.,InterchangeableNFInstancesOfTheSameType,include,AMF,
Interchangeable NF instances of the same type include SMF,<object> Interchangeable NF instances of the same type <relationship> include <object> SMF.,InterchangeableNFInstancesOfTheSameType,include,SMF,
Grouping by NF Set enables shared context,<object> Grouping by NF Set <relationship> enables <object> shared context.,GroupingByNFSet,enables,SharedContext,
NF Sets support geo-redundancy,<object> NF Sets <relationship> support <object> geo-redundancy.,NFSets,support,GeoRedundancy,
Geo-redundancy is achieved via distributed instances,<object> Geo-redundancy <relationship> is achieved via <object> distributed instances.,GeoRedundancy,isAchievedVia,DistributedInstances,
Stateless NFs in an NF Set externalize state to UDSF,<object> Stateless NFs in an NF Set <relationship> externalize <object> state to UDSF.,StatelessNFsInAnNFSet,externalize,StateToUDSF,
Externalizing state to UDSF enables context retrieval by any instance,<object> Externalizing state to UDSF <relationship> enables <object> context retrieval by any instance.,ExternalizingStateToUDSF,enables,ContextRetrievalByAnyInstance,
NF instances in an NF Set can have different software versions,<object> NF instances in an NF Set <relationship> can have <object> different software versions.,NFInstancesInAnNFSet,canHave,DifferentSoftwareVersions,
Different software versions enable seamless rolling upgrades,<object> Different software versions <relationship> enable <object> seamless rolling upgrades.,DifferentSoftwareVersions,enable,SeamlessRollingUpgrades,
NF Set uses N+M redundancy,<object> NF Set <relationship> uses <object> N+M redundancy.,NFSet,uses,NPlusMRedundancy,
Context-sharing in NF Sets prevents signaling storms,<object> Context-sharing in NF Sets <relationship> prevents <object> signaling storms.,ContextSharingInNFSets,prevents,SignalingStorms,
Context-sharing in NF Sets avoids re-registration during failover,<object> Context-sharing in NF Sets <relationship> avoids <object> re-registration during failover.,ContextSharingInNFSets,avoids,ReRegistrationDuringFailover,
Avoiding re-registration during failover prevents signaling storms,<object> Avoiding re-registration during failover <relationship> prevents <object> signaling storms.,AvoidingReRegistrationDuringFailover,prevents,SignalingStorms,
